county,state,season,latitude,longitude,date,classification,temperature_high,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,pressure,uv_index,visibility,wind_bearing,wind_speed
Baxter County,Arkansas,Summer,36.37139,-92.25139,8/11/2001,Class B,88.66,71.29,69.07,0.78,0.33,0.73,,1015.91,10,9.02,297,0.29
Kittitas County,Washington,Fall,46.98333,-121.0922,9/1/1983,Class B,57.85,48.84,45.6,0.76,0.68,0.8,0.0472,1014.03,4,4.9,251,9.77
Clackamas County,Oregon,Spring,45.03255,-122.4808,6/8/2000,Class B,59.36,47.87,49.63,0.86,0.98,0.23,0.0006,1012.38,5,10,263,4.74
Douglas County,Oregon,Summer,43.7827,-123.9599,6/25/1978,Class B,64.53,52.65,52.14,0.82,0.83,0.68,,1023.07,5,9.35,227,0.6
Tillamook County,Oregon,Summer,45.7351,-123.466,8/19/2000,Class B,57.98,36.25,48.62,0.97,0.77,0.65,0.0178,1020.65,5,9.54,302,0.56
Neosho County,Kansas,Fall,37.44208,-95.35479,10/1/1975,Class B,62.2,35.21,42.12,0.69,0.21,0.87,,1025.71,6,10,356,8.28
Holmes County,Florida,Summer,30.98555,-85.6489,8/15/1976,Class A,94.05,73.65,72.03,0.74,0.22,0.68,,1016.7,9,6.63,172,2.1
Ouray County,Colorado,Summer,38.48959,-107.7,8/24/1996,Class B,78.07,58.25,47.56,0.49,0.01,0.35,,1017.02,10,10,140,4.88
Kittitas County,Washington,Summer,47.47745,-121.0415,7/30/2000,Class C,77.29,57.33,57.94,0.74,0,0.99,0,1017.6,9,10,229,8.78
Russell County,Alabama,Fall,32.31435,-85.16235,9/15/1981,Class A,87.57,69.34,69.27,0.89,0.71,0.55,0.0364,1013.77,7,5.56,230,1.89
Saline County,Arkansas,Fall,34.55056,-92.34083,8/11/2001,Class A,89.34,74.79,73.36,0.85,0.82,0.73,0.0275,1016.08,7,6.74,216,4.52
Clackamas County,Oregon,Summer,45.40023,-122.2777,7/22/2000,Class B,67.02,54.32,56.02,0.84,0.94,0.7,0.0025,1019.7,4,9.93,202,3.13
Tucker County,West Virginia,Summer,39.06881,-79.32608,7/23/2000,Class B,62.22,51.72,54.23,1,0.87,0.73,0,1021.96,6,7.89,30,0.02
Lane County,Oregon,Summer,43.7667,-123.455,7/15/1999,Class B,78.81,52.9,44.79,0.61,0,0.1,0,1014.23,10,10,330,3.11
Tuscaloosa County,Alabama,Summer,33.28375,-87.32655,7/15/1999,Class A,86.54,70.34,70.47,0.8,0.38,0.1,,1020.03,10,7.54,85,1.9
Gadsden County,Florida,Winter,30.6645,-84.60745,12/18/1994,Class A,63.27,38.24,47.89,0.79,0.8,0.52,0,1019.95,3,5.88,323,5.46
Miami County,Ohio,Summer,39.9784,-84.1735,9/1/2000,Class B,86.07,69.79,71,0.82,0.48,0.12,0.0031,1015.9,5,8.87,95,2.54
Cleburne County,Alabama,Fall,33.7065,-85.57415,9/15/1994,Class B,86.65,66.65,63.62,0.79,0.25,0.36,,1018.8,7,5.77,71,5.55
Marshall County,Kentucky,Spring,36.8207,-88.41175,4/15/1990,Class A,54.15,42.25,43.41,0.89,0.74,0.67,0.003,1018.15,4,6.83,114,2.44
Pierce County,Washington,Summer,47.0044,-122.5386,8/16/2000,Class B,75.81,46.25,48.06,0.64,0.12,0.55,0,1024.39,7,8.82,292,1.04
Crittenden County,Arkansas,Winter,35.14639,-90.18444,10/15/1983,Class B,76.14,55.91,42.93,0.56,0,0.31,0,1021.02,6,9.45,139,4.57
Alamosa County,Colorado,Summer,37.57915,-105.4979,8/20/2000,Class A,65.15,31.13,42.2,0.87,0.16,0.68,0.0034,1020.16,11,9.34,352,2.17
Portage County,Ohio,Summer,40.98596,-81.11642,8/1/2000,Class A,81.52,66.27,66.35,0.78,0.65,0.06,0,1014.42,6,6.91,212,8.6
Humboldt County,California,Summer,41.16,-123.9,5/31/2006,Class B,65.92,52.1,50.49,0.94,0.47,0.15,0.0021,1018.42,7,8.68,313,0.43
Hocking County,Ohio,Summer,39.58157,-82.36887,7/11/2000,Class A,80.95,60.94,68.26,0.85,0.55,0.35,,1013.66,9,7.76,51,4.36
