long,lat,shift,date,age,primary_fur_color,highlight_fur_color,location,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
-73.95613449,40.79408239,PM,10142018,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95704377,40.79485094,PM,10062018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97683118,40.76671781,AM,10102018,Adult,Cinnamon,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97572498,40.76970326,PM,10182018,Juvenile,Gray,NA,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95931267,40.79753337,AM,10182018,NA,NA,NA,Above Ground,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95657004,40.7902561,AM,10192018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97197356,40.76930451,PM,10202018,Adult,Gray,NA,Ground Plane,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96026099,40.7942883,PM,10132018,NA,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97707186,40.77297524,AM,10082018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.95964139,40.79031289,PM,10172018,Adult,Gray,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97026765,40.77621269,AM,10172018,Adult,Gray,Cinnamon,Above Ground,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96836135,40.77259088,AM,10102018,Adult,Cinnamon,White,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.95412018,40.79318117,AM,10102018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95826943,40.79173678,AM,10082018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.9674286,40.78297239,PM,10062018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
-73.97225002,40.77428796,AM,10102018,Adult,Gray,Cinnamon,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96950635,40.78235077,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.95321705,40.79196697,PM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97686036,40.77027959,PM,10102018,Adult,Cinnamon,Gray,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97061059,40.76981248,AM,10062018,Adult,Gray,Cinnamon,Above Ground,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97037817,40.77875261,PM,10182018,Adult,Gray,"Cinnamon, White",Above Ground,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97039252,40.7765032,AM,10082018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96381794,40.79241733,PM,10132018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.9584071,40.79138125,AM,10082018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96711307,40.77848597,AM,10072018,Adult,Gray,White,Above Ground,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
-73.9649866,40.77649297,AM,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.96706286,40.77349914,AM,10132018,Adult,Cinnamon,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
-73.95873659,40.79085244,PM,10082018,Adult,Gray,NA,Ground Plane,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96717867,40.78673528,AM,10132018,NA,Gray,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96929433,40.77695361,AM,10132018,Adult,Gray,White,Ground Plane,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95400541,40.7952446,PM,10132018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95765302,40.78686595,PM,10072018,NA,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97380333,40.77118469,AM,10062018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97044027,40.77989656,PM,10132018,Adult,Gray,NA,Ground Plane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97569761,40.77538973,PM,10142018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
