Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2020,October,King and Queen,,,156644,,
2019,April,Mathews County,,,21602,0,
2019,August,King and Queen,,,51338,,
2020,May,Northumberland County,270,627,67633,,
2019,May,King and Queen,,,54561,,
2020,June,Richmond City,2,4,,,
2020,June,Fauquier County,3,8,,,
2020,May,Arlington County,,,35710.515,,
2019,December,Emporia City,54,87,14318,,
2019,February,Appomattox County,798,1280,31341.32,,0
2019,March,Martinsville City,393,1526,11493.75,147,0
2021,January,Pittsylvania County,,,0,0,0
2019,September,Louisa County,1411,2890,42024,,
2021,April,Richmond County,27,74,446632,,
2020,August,Lancaster County,463,873,70896,,
2021,June,Rockingham County,1300,2606,73972.38,281,461
2020,May,Bath County,311,660,21773.98,,0
2019,April,Tazewell County,2724,6175,81717.1,40,0
2019,July,Fredericksburg City,868,2024,59548,505,926
2020,June,King George County,223,557,10302.41,,0
2019,April,Floyd County,356,926,14345.73,,0
2020,June,Russell County,757,1709,26444.75,,0
2019,February,Essex County,231,499,25856,,
2021,May,Nottoway County,205,687,19097,,
2020,March,Mathews County,,,27560,0,
2019,November,Greene County,536,1354,44019.57,86,1422
2020,June,Louisa County,1205,2289,11084,,
2019,July,Greensville County,74,269,158112,,
2020,March,Newport News City,1641,4134,322903,450,16054
2019,April,Prince George County,2,2,,,
2020,December,Rockbridge County,96,2604,3781.12,,0
2020,August,Petersburg City,0,10265,0,,
2021,June,Charlotte County,796,1323,15227,,
2021,August,Henry County,2822,6523,74249.53,,0
2020,August,Franklin County,664,2285,37424.86,,0
2020,May,Dickenson County,703,1390,33592,,0
2019,August,Mathews County,,,30514,,
2021,May,King and Queen County,274,635,203555,,
2020,November,Wise County,1337,3817,56497.97,,0
2020,April,Accomack County,1490,5048,111528,232,0
2020,July,Floyd County,317,726,14378.35,,0
2021,September,Alleghany County,,,15113.6,,0
2020,May,Galax City,327,784,16926,,0
2020,August,Mecklenburg County,1621,2672,10002,,
2020,December,Madison County,237,581,42069.17,,0
2020,February,Bristol City,445,2247,2610,110,0
2020,December,Charlottesville City,1903,11702,47021.09,0,0
2020,July,Richmond City,7013,13931,38324,,
2019,February,Spotsylvania County,2364,7586,158855,194,9767
2021,June,Richmond County,27,72,740260,,
2019,November,Fluvanna County,474,953,20265.43,132,3071
2020,July,Richmond City,0,10670,0,,
2019,February,Stafford County,1330,3950,42641,1069,2566
2021,January,Martinsville City,241,2027,14564.8,,0
2021,April,Bland County,179,427,51652.53,,0
2021,March,Salem City,464,1216,24336.3,,0
2020,November,Westmoreland County,360,905,6569,,
2020,February,Surry County,117,198,18275,0,
2020,December,Amelia County,226,625,14855,,
2019,July,Accomack County,1542,4451,98817,0,0
2019,May,Prince William County,23,88,168,,0
2020,August,Martinsville City,181,2380,11724.22,,0
2019,June,Culpeper County,21,57,,,
2020,May,Hopewell City,0,865,0,,
2020,June,Carroll County,285,717,17018.6,,0
2019,November,Pittsylvania County,648,1563,17708.05,,0
2019,August,Lee County,470,1350,27360.9,,0
2019,July,Madison County,281,647,20538.41,,0
2019,December,Hanover County,606,2283,629,,
2019,January,York County,299,882,51866,215,2068
2020,June,Patrick County,765,2229,27628,,0
2021,August,Grayson County,797,2242,56293.03,,0
2020,April,Hopewell City,132,130,26705,,
2021,April,Waynesboro City,199,423,13959.51,100,2052
2019,June,STAUNTON CITY,480,5367,22940.35,,1136
2019,June,Orange County,288,693,6683,,0
2020,October,Amherst County,1460,3269,114609.86,1108,4100
2019,January,Colonial Heights City,0,2497,0,,
2020,March,Floyd County,455,1032,13990.62,,0
2020,January,Henrico County,9,15,,,
2020,October,Hopewell City,0,1109,0,,
2021,January,Appomattox County,994,1812,39667.02,,0
2020,March,New Kent County,483,1307,0,,
2020,September,Danville City,2298,5963,109065.7,,0
2019,April,Fauquier County,772,1635,67229.36,,0
2019,August,Mecklenburg County,1197,32657,8211,,
2020,September,Pittsylvania County,,,0,0,0
2021,March,Petersburg City,620,1402,6156,,
2019,April,Sussex County,106,284,9433,,
2020,June,King and Queen County,394,821,227504,,
2019,April,Stafford County,1300,3578,56980,1356,1780
2019,July,Sussex County,243,539,10537,0,0
2020,July,Cumberland County,778,1171,51633,,
2021,March,Smyth County,514,1374,96998,368,9800
2020,April,Hampton City,2761,8349,329989,410,6825
2020,June,Salem City,1299,3952,75983.9,,0
2019,February,Fairfax County,,,546811.851,,1476
2020,August,Waynesboro City,251,579,16712.23,80,0
2019,July,Petersburg City,1110,2508,13967,,
2019,December,Northumberland County,279,708,69647,,
2020,November,Culpeper County,852,2273,60094.19,,0
2020,April,King William County,144,4568,11537,,
2021,June,Martinsville City,196,1378,12406.5,,444
2019,August,Richmond County,1,1,,,
2019,April,Richmond City,5939,12279,21247,,
2020,March,Charlottesville City,1295,7093,56563.62,0,0
2020,April,Greene County,734,1914,58914.57,77,1572
2020,February,Westmoreland County,36,94,2781.8,,0
2021,July,Buchanan County,1119,2549,75861.03,,1062
2020,May,Nelson County,745,1472,43747.28,,0
2019,September,Frederick County,3312,5506,54295.46,,0
2019,April,Prince William County,,,278132.2282,,
2020,March,CLARKE COUNTY,166,275,9345.54,82,1169
2021,January,Madison County,208,503,35939.6,,0
2020,November,Emporia City,88,132,25963,,
2019,July,Giles County,376,725,12760,57,0
2020,October,Russell County,864,2021,47576.38,,0
2019,March,Chesterfield County,5,5,,,
2019,April,Suffolk City,1939,4689,55596,251,4396
2019,March,Franklin City,1026,2237,25807,67,1623
2020,October,King and Queen County,0,0,0,,
2019,September,Campbell County,958,2146,81102.6,142,1894
2019,March,Mathews County,,,20931,0,
